Released by,debug pattern name,Pattern directory,Comments
CC,lui_sz131072_of0_i1000_imm0xfffff_bup_c0_info_051725_1,/projects/ga0/patterns/func/eval/051725/lui_sz131072_of0_i1000_imm0xfffff_bup_c0_info_051725_1.stil,"x7y4, x7y5, x8y5, all need logs"
CC,lui_sz131072_of0_i1000_imm0xfffff_bup_c0_051725_1,/projects/ga0/patterns/func/eval/051725/lui_sz131072_of0_i1000_imm0xfffff_bup_c0_051725_1.stil,"x7y4, x7y5, x8y5, all need logs"
CC,lui_sz131072_of0_i1000_imm0xfffff_bup_c1_info_051725_1,/projects/ga0/patterns/func/eval/051725/lui_sz131072_of0_i1000_imm0xfffff_bup_c1_info_051725_1.stil,"x7y4, x7y5, x8y5, all need logs"
CC,lui_sz131072_of0_i1000_imm0xfffff_bup_c1_051725_1,/projects/ga0/patterns/func/eval/051725/lui_sz131072_of0_i1000_imm0xfffff_bup_c1_051725_1.stil,"x7y4, x7y5, x8y5, all need logs"
CC,lui_sz131072_of0_i1000_imm0xfffff_bup_c2_info_051725_1,/projects/ga0/patterns/func/eval/051725/lui_sz131072_of0_i1000_imm0xfffff_bup_c2_info_051725_1.stil,"x7y4, x7y5, x8y5, all need logs"
CC,lui_sz131072_of0_i1000_imm0xfffff_bup_c2_051725_1,/projects/ga0/patterns/func/eval/051725/lui_sz131072_of0_i1000_imm0xfffff_bup_c2_051725_1.stil,"x7y4, x7y5, x8y5, all need logs"
CC,lui_sz131072_of0_i1000_imm0xfffff_bup_c3_info_051725_1,/projects/ga0/patterns/func/eval/051725/lui_sz131072_of0_i1000_imm0xfffff_bup_c3_info_051725_1.stil,"x7y4, x7y5, x8y5, all need logs"
CC,lui_sz131072_of0_i1000_imm0xfffff_bup_c3_051725_1,/projects/ga0/patterns/func/eval/051725/lui_sz131072_of0_i1000_imm0xfffff_bup_c3_051725_1.stil,"x7y4, x7y5, x8y5, all need logs"
CC,lui_sz131072_of0_i1000_imm0xfffff_bup_cf_info_051725_1,/projects/ga0/patterns/func/eval/051725/lui_sz131072_of0_i1000_imm0xfffff_bup_cf_info_051725_1.stil,"x7y4, x7y5, x8y5, all need logs"
CC,lui_sz131072_of0_i1000_imm0xfffff_bup_cf_051725_1,/projects/ga0/patterns/func/eval/051725/lui_sz131072_of0_i1000_imm0xfffff_bup_cf_051725_1.stil,"x7y4, x7y5, x8y5, all need logs"
